League ID,League Name,Country,Sport,Revenue (USD),Average Player Salary (USD),Top Team,Total Teams,Founded Year,Viewership
L001,Premier League,England,Football,5275330000,12080000,Liverpool,16,1886,485.9
L002,Serie A,India,American Football,7088640000,6730000,Inter Milan,13,1977,135.01
L003,IPL,England,American Football,7930520000,14360000,Chennai Super Kings,13,1979,157.49
L004,La Liga,Spain,American Football,4972890000,13720000,Atletico Madrid,22,1999,245.71
L005,Serie A,Italy,Basketball,6265740000,7450000,Juventus,16,1963,52.83
L006,NFL,England,American Football,6230530000,1640000,New England Patriots,28,1924,107.82
L007,La Liga,Spain,Basketball,7764560000,6670000,Real Madrid,22,1932,140.43
L008,La Liga,Italy,American Football,7345940000,3430000,Real Madrid,10,1980,150
L009,NBA,USA,American Football,3134960000,6730000,Los Angeles Lakers,21,1989,488.9
L010,Bundesliga,Spain,Football,3498290000,3080000,Borussia Dortmund,29,1981,378.51
L011,Bundesliga,India,Basketball,6989110000,13780000,Bayern Munich,20,1880,349.45
L012,Serie A,France,Football,1540640000,1670000,Inter Milan,18,2013,315.42
L013,IPL,Spain,American Football,3644620000,10230000,Chennai Super Kings,16,1958,374.06
L014,NFL,Italy,American Football,7845970000,9440000,Green Bay Packers,18,1956,379.94
L015,IPL,France,American Football,5012560000,2480000,Chennai Super Kings,12,1944,490.29
L016,Ligue 1,Germany,Cricket,5064830000,14910000,Lyon,31,1893,259.39
L017,La Liga,USA,American Football,6655720000,2150000,Atletico Madrid,19,2018,315.92
L018,NBA,France,Football,3989320000,13480000,Miami Heat,23,1889,470.62
L019,Bundesliga,India,Cricket,5922640000,7580000,RB Leipzig,13,1996,181.48
L020,IPL,India,Basketball,2575200000,10800000,Mumbai Indians,31,1921,113
L021,Ligue 1,India,Football,4147490000,5650000,Lyon,10,1895,343.04
L022,NFL,Germany,Basketball,689460000,5000000,Green Bay Packers,13,1968,176.73
L023,NBA,Italy,Cricket,6817730000,2360000,Miami Heat,17,1904,75.91
L024,NBA,Germany,Football,6797150000,3710000,Miami Heat,29,1896,77.24
L025,NFL,England,American Football,651960000,1520000,Green Bay Packers,21,1957,229.16
L026,La Liga,Spain,Basketball,3391810000,9290000,Atletico Madrid,11,1897,241.97
L027,IPL,Germany,Basketball,4922160000,3330000,Kolkata Knight Riders,12,1958,449.12
L028,Premier League,France,Football,3507130000,3990000,Manchester City,23,1918,418.48
L029,Ligue 1,Italy,Basketball,1563060000,8200000,Lyon,20,1901,479.87
L030,NFL,England,American Football,3616740000,6240000,Dallas Cowboys,24,1980,360.19
L031,IPL,Germany,Cricket,5011900000,13880000,Chennai Super Kings,27,2015,331.61
L032,NFL,Italy,American Football,5560840000,4240000,New England Patriots,31,1999,90.55
L033,Ligue 1,France,American Football,6872600000,5590000,Olympique Marseille,32,1949,304.11
L034,Ligue 1,France,Football,2319580000,8720000,Olympique Marseille,11,1955,334.81
L035,NBA,Spain,Football,824350000,13160000,Miami Heat,11,1986,107.43
L036,Serie A,Germany,Football,2836530000,14080000,Juventus,22,1911,293.04
L037,NBA,India,Cricket,1624450000,8350000,Los Angeles Lakers,26,1943,475.02
L038,NBA,India,Football,1689450000,13720000,Los Angeles Lakers,24,1946,217.16
L039,Premier League,India,Basketball,2476070000,13330000,Manchester City,18,1883,175.65
L040,NBA,India,American Football,2252390000,7970000,Golden State Warriors,18,1951,293.34
L041,Premier League,England,Cricket,2959100000,5760000,Manchester City,31,2008,93.55
L042,NBA,India,Basketball,1308600000,6510000,Miami Heat,27,1927,316.81
L043,NFL,Italy,Football,6685600000,8170000,Green Bay Packers,16,1952,200.97
L044,Serie A,Spain,American Football,3044080000,1420000,Inter Milan,15,1934,64.18
L045,Premier League,Germany,American Football,2868650000,11190000,Manchester United,23,1959,29.8
L046,Ligue 1,Germany,Football,5121010000,4340000,Lyon,31,1950,333.14
L047,NFL,USA,American Football,2782070000,4180000,Dallas Cowboys,14,1957,246.72
L048,La Liga,England,American Football,1132480000,10140000,Real Madrid,18,2004,147.84
L049,NFL,USA,Football,666960000,2270000,Green Bay Packers,16,2023,131.75
L050,Premier League,Spain,Basketball,4564600000,14890000,Liverpool,14,1921,150.16
L051,La Liga,Germany,Football,2925630000,5550000,Barcelona,27,1976,183.95
L052,NFL,England,Football,1404130000,14960000,Green Bay Packers,26,1944,337.81
L053,Bundesliga,Germany,Cricket,3324500000,11760000,Bayern Munich,29,1950,325.95
L054,La Liga,England,Cricket,1013260000,8420000,Barcelona,26,1919,233.01
L055,Ligue 1,Spain,Basketball,5813670000,10990000,Paris Saint-Germain,26,1920,329.48
L056,NFL,France,American Football,2225970000,1010000,New England Patriots,21,1958,76.76
L057,Bundesliga,England,Basketball,5241970000,11220000,Borussia Dortmund,12,1982,2.97
L058,NFL,Italy,Football,7648520000,7650000,Dallas Cowboys,12,1910,79.76
L059,Premier League,Italy,Football,3581980000,2800000,Liverpool,30,1948,410.71
L060,Ligue 1,Italy,Basketball,7491060000,12470000,Olympique Marseille,23,1957,416.47
L061,Ligue 1,Germany,Basketball,5048430000,11620000,Paris Saint-Germain,15,1890,488.74
L062,Ligue 1,India,Basketball,2869690000,1950000,Olympique Marseille,25,1932,159.08
L063,NBA,Italy,Cricket,5820040000,5350000,Los Angeles Lakers,13,1940,274.57
L064,Bundesliga,France,Football,7904150000,3870000,RB Leipzig,26,2018,154.01
L065,Premier League,USA,American Football,1661500000,3720000,Liverpool,31,1926,321.56
L066,NBA,India,Basketball,2897830000,2580000,Golden State Warriors,29,1947,286.77
L067,NBA,Italy,Cricket,2554600000,13780000,Miami Heat,11,1909,449
L068,Premier League,Italy,Cricket,3245750000,12190000,Manchester City,11,1987,370.56
L069,Premier League,USA,Basketball,5250420000,3880000,Manchester United,16,1922,332.84
L070,NBA,France,Basketball,894690000,6260000,Golden State Warriors,14,2010,110.15
L071,Bundesliga,India,American Football,3613110000,14450000,Borussia Dortmund,22,2015,109.38
L072,Serie A,Germany,American Football,1170200000,1330000,Inter Milan,13,1933,239.03
L073,Bundesliga,Italy,Basketball,5313910000,10080000,RB Leipzig,13,1913,324.15
L074,La Liga,Italy,Football,3682720000,5480000,Real Madrid,11,1885,143.4
L075,Bundesliga,India,Football,6495300000,10710000,Borussia Dortmund,27,1990,59.15
L076,Serie A,India,Football,5641640000,11420000,Inter Milan,14,1974,388.95
L077,Serie A,Italy,American Football,681650000,10970000,Juventus,12,1909,361.26
L078,Serie A,England,Basketball,636510000,7510000,AC Milan,15,1914,293.28
L079,Ligue 1,Germany,Cricket,3309620000,7970000,Paris Saint-Germain,21,1941,253.34
L080,Bundesliga,France,Football,7641410000,2950000,RB Leipzig,32,1948,437.44
L081,Serie A,Italy,Cricket,4653680000,2950000,Inter Milan,21,1986,116.68
L082,La Liga,Germany,Basketball,7044470000,2210000,Barcelona,19,1931,33.83
L083,Bundesliga,Spain,Football,3629650000,12580000,RB Leipzig,26,1902,108.47
L084,Bundesliga,India,Cricket,2748330000,14060000,Borussia Dortmund,27,1951,245.12
L085,La Liga,USA,Basketball,6674380000,13910000,Real Madrid,11,1943,138.4
L086,NBA,Spain,Basketball,1435250000,9260000,Golden State Warriors,17,1994,226.27
L087,Serie A,Germany,American Football,3150970000,2300000,AC Milan,13,2008,162.39
L088,Bundesliga,India,Cricket,6398240000,11700000,RB Leipzig,32,1917,235.87
L089,NBA,England,Football,6844670000,9150000,Miami Heat,24,2020,249.58
L090,Ligue 1,India,Football,7546220000,1450000,Olympique Marseille,24,1928,354.24
L091,Premier League,England,American Football,1520280000,11450000,Manchester United,19,1904,2.69
L092,Ligue 1,England,Football,7023660000,14490000,Paris Saint-Germain,29,1955,467.21
L093,NBA,India,Cricket,2647540000,5520000,Miami Heat,11,1968,187.25
L094,Serie A,France,Basketball,5777730000,2170000,Inter Milan,11,1920,199.1
L095,NBA,Spain,American Football,7661390000,9320000,Golden State Warriors,11,2004,261.39
L096,Serie A,Italy,American Football,2547720000,7960000,Inter Milan,11,2020,269.68
L097,NFL,India,Football,1406030000,3810000,Dallas Cowboys,11,1898,321.19
L098,NFL,France,Cricket,7050350000,3300000,Green Bay Packers,21,1963,461.9
L099,Bundesliga,Germany,Cricket,7609280000,4970000,Borussia Dortmund,15,1884,319.68
L100,La Liga,France,American Football,2499000000,12140000,Barcelona,24,1897,343.81
L101,Bundesliga,Italy,Cricket,2053560000,13120000,Bayern Munich,22,1978,100.48
L102,IPL,England,Football,658860000,14240000,Kolkata Knight Riders,23,1927,227.4
L103,Bundesliga,USA,American Football,2589120000,11170000,Bayern Munich,18,1880,12.85
L104,NFL,England,American Football,1885980000,3130000,Dallas Cowboys,28,1940,158.2
L105,Premier League,Spain,American Football,2899800000,10250000,Manchester United,11,1941,395.18
L106,Premier League,France,American Football,5947860000,11250000,Manchester United,17,1992,30.92
L107,Ligue 1,Germany,Basketball,3775110000,11300000,Paris Saint-Germain,31,1923,357.99
L108,IPL,England,Football,4296610000,10660000,Kolkata Knight Riders,31,2001,371.82
L109,Bundesliga,India,Cricket,5351020000,12530000,Bayern Munich,26,2020,252.4
L110,IPL,USA,Cricket,1624100000,9930000,Mumbai Indians,12,1885,59.42
L111,La Liga,Germany,Basketball,4678220000,5910000,Atletico Madrid,28,1956,390.39
L112,La Liga,England,Basketball,3931190000,1910000,Barcelona,18,1995,253.93
L113,Premier League,Germany,Basketball,2345010000,5140000,Manchester City,11,1972,356.89
L114,La Liga,Italy,Football,4906430000,5760000,Barcelona,21,1938,51.7
L115,Bundesliga,USA,Football,6269510000,1390000,RB Leipzig,15,1933,195.98
L116,Ligue 1,Spain,Football,4684710000,4090000,Paris Saint-Germain,18,1934,258.92
L117,Premier League,India,Cricket,2061540000,9510000,Manchester United,28,2011,404.57
L118,IPL,USA,Cricket,5926290000,11000000,Chennai Super Kings,30,1970,456.83
L119,IPL,France,Basketball,2628280000,9160000,Kolkata Knight Riders,17,1985,342.2
L120,NFL,USA,Cricket,7936140000,4430000,New England Patriots,19,1981,396.76
L121,NFL,England,Football,6270550000,13120000,Dallas Cowboys,21,1972,370.12
L122,Serie A,Germany,Basketball,810000000,6790000,Inter Milan,30,2004,65.49
L123,Serie A,Spain,Basketball,3073690000,13920000,Juventus,16,1942,60.67
L124,Ligue 1,France,Football,5813230000,8170000,Lyon,20,1961,116.1
L125,Ligue 1,France,American Football,909240000,7140000,Lyon,20,1965,184.79
L126,Serie A,Germany,Football,1576340000,7670000,AC Milan,15,1910,317.58
L127,IPL,Spain,American Football,7889510000,12220000,Kolkata Knight Riders,11,1964,485.55
L128,La Liga,USA,Football,7348300000,12440000,Barcelona,13,1929,141.65
L129,Bundesliga,Spain,Cricket,7480690000,7400000,RB Leipzig,31,1998,468.68
L130,NBA,USA,Football,3425710000,9370000,Golden State Warriors,20,1938,263.2
L131,NFL,India,American Football,7125350000,6920000,Dallas Cowboys,30,1898,46.44
L132,Bundesliga,India,American Football,6539030000,10990000,Bayern Munich,13,1931,91.63
L133,La Liga,Italy,Football,4945050000,6660000,Atletico Madrid,13,1966,476.81
L134,NBA,Spain,Basketball,5346060000,3640000,Golden State Warriors,22,1930,308.23
L135,Premier League,Spain,Cricket,5426070000,13500000,Liverpool,19,1899,93.26
L136,IPL,France,American Football,5249830000,2750000,Chennai Super Kings,22,1986,425.35
L137,NBA,England,Basketball,4428640000,2260000,Golden State Warriors,22,1985,68.14
L138,La Liga,Germany,Football,2656880000,9300000,Real Madrid,27,2017,370.96
L139,La Liga,France,Cricket,7229390000,11070000,Real Madrid,25,1912,141.98
L140,La Liga,Italy,Cricket,4835940000,3650000,Barcelona,30,1923,188.37
L141,NBA,Spain,Football,7881370000,14940000,Golden State Warriors,25,1960,113.44
L142,Bundesliga,France,Basketball,4965230000,13920000,Borussia Dortmund,20,2011,129.43
L143,Serie A,England,Basketball,6239480000,1540000,AC Milan,29,2017,464.58
L144,NFL,Italy,American Football,4071780000,9430000,Dallas Cowboys,25,1902,218.87
L145,Serie A,France,Basketball,5041970000,13200000,AC Milan,26,1953,266.04
L146,NFL,USA,Basketball,7897380000,14600000,Dallas Cowboys,23,2009,496.88
L147,Serie A,Germany,Cricket,7191230000,2330000,Inter Milan,16,1992,220.18
L148,IPL,Germany,Football,1120820000,13340000,Mumbai Indians,12,1907,227.06
L149,Premier League,Germany,American Football,5588030000,11550000,Manchester United,12,1952,331.08
L150,La Liga,France,Basketball,7107150000,10620000,Barcelona,29,2010,146.71
L151,Premier League,Spain,Basketball,5070050000,3690000,Liverpool,11,1908,283.35
L152,Ligue 1,England,Football,7222210000,7250000,Lyon,28,1933,407.26
L153,La Liga,Italy,Basketball,4820630000,7370000,Real Madrid,14,1924,271.62
L154,Premier League,France,Basketball,4385310000,7280000,Manchester City,26,1984,10.36
L155,La Liga,England,Football,5210530000,1220000,Real Madrid,10,1904,74.22
L156,NBA,England,Basketball,4963470000,4120000,Golden State Warriors,19,1897,92.26
L157,NFL,USA,American Football,7438720000,13770000,New England Patriots,29,1951,137.24
L158,NBA,USA,Football,1166320000,13320000,Los Angeles Lakers,17,1941,429.85
L159,NFL,Spain,Basketball,695140000,14940000,New England Patriots,26,1957,64.72
L160,Serie A,England,American Football,5638740000,13080000,Juventus,29,1960,196.66
L161,Premier League,Germany,American Football,2306760000,11130000,Manchester City,20,2017,187.89
L162,Serie A,Italy,Basketball,827490000,14920000,Juventus,28,1988,285.23
L163,Ligue 1,Germany,American Football,747550000,5440000,Olympique Marseille,15,1881,267.42
L164,Ligue 1,USA,Basketball,1935590000,5620000,Paris Saint-Germain,16,1884,79.21
L165,La Liga,India,Football,1037030000,1810000,Real Madrid,12,1947,20.56
L166,NBA,Germany,Football,5674670000,1090000,Golden State Warriors,17,1936,499.83
L167,Ligue 1,France,Football,6281520000,14810000,Lyon,26,2009,100.86
L168,NBA,Italy,Basketball,2952050000,1490000,Los Angeles Lakers,15,1925,130.95
L169,La Liga,Spain,Basketball,2553560000,5580000,Barcelona,23,1960,138.14
L170,NFL,India,American Football,853830000,6630000,Dallas Cowboys,19,2017,68.33
L171,IPL,England,American Football,3935390000,9070000,Chennai Super Kings,28,2020,430.28
L172,IPL,India,Cricket,4475880000,10970000,Mumbai Indians,16,2023,160.64
L173,Premier League,Spain,Football,1399070000,3760000,Manchester City,18,1941,324.56
L174,Bundesliga,England,Football,7527660000,5900000,Bayern Munich,27,1884,90.18
L175,Bundesliga,France,Basketball,5695510000,8840000,Borussia Dortmund,16,1939,203.97
L176,NBA,France,Basketball,2435570000,7790000,Los Angeles Lakers,29,2020,376.35
L177,Bundesliga,Spain,Football,1064340000,13030000,Borussia Dortmund,26,1911,420.09
L178,Serie A,Germany,Football,6462710000,13150000,AC Milan,10,1974,222.59
L179,Serie A,France,Football,7147520000,2440000,AC Milan,31,1909,338.09
L180,NFL,Italy,Cricket,670180000,2200000,New England Patriots,31,1900,470.59
L181,Ligue 1,India,Football,2624060000,6200000,Lyon,15,1996,137.49
L182,Serie A,Italy,Basketball,6138600000,11820000,Inter Milan,21,1971,291.27
L183,IPL,Germany,Cricket,1623100000,9650000,Mumbai Indians,29,1928,273.53
L184,NBA,India,American Football,3513490000,5250000,Miami Heat,25,1901,61.75
L185,Bundesliga,England,American Football,3570450000,2870000,Borussia Dortmund,21,1982,169.35
L186,Premier League,Germany,Cricket,4481760000,12330000,Manchester City,15,2003,377.53
L187,NBA,USA,American Football,4017470000,4710000,Golden State Warriors,15,1903,161.69
L188,Serie A,USA,Basketball,7540950000,13950000,Juventus,14,1885,472.04
L189,Ligue 1,Germany,American Football,2169770000,4830000,Olympique Marseille,29,2016,296.05
L190,Serie A,Germany,Football,4242250000,14710000,Juventus,14,2013,315.78
L191,IPL,France,American Football,7952640000,5730000,Mumbai Indians,30,1963,108.77
L192,Bundesliga,England,Football,2390830000,10550000,RB Leipzig,13,1948,430.61
L193,La Liga,Italy,American Football,5373800000,7070000,Real Madrid,12,1950,146.55
L194,Bundesliga,Italy,Cricket,6045500000,2010000,RB Leipzig,18,1941,168.01
L195,Premier League,England,Cricket,1857370000,4410000,Manchester United,16,1915,292.42
L196,NFL,England,Football,4206800000,11090000,New England Patriots,16,2020,24.8
L197,Premier League,Spain,Cricket,4347700000,7680000,Manchester United,22,1965,400.49
L198,Ligue 1,India,Cricket,3190740000,6940000,Paris Saint-Germain,18,2022,497.26
L199,IPL,Spain,Cricket,6690710000,8920000,Chennai Super Kings,30,1962,493.08
L200,La Liga,USA,Basketball,2300250000,10620000,Real Madrid,27,1967,27.95
L201,Serie A,USA,American Football,609520000,7430000,Juventus,19,1925,364.38
L202,Serie A,Spain,Cricket,4965710000,6190000,Juventus,10,2020,60.82
L203,NBA,Spain,American Football,630040000,6780000,Los Angeles Lakers,29,1941,82.62
L204,Bundesliga,England,Football,3366780000,10530000,RB Leipzig,28,1895,163.14
L205,NFL,India,Basketball,5955960000,6140000,New England Patriots,25,1989,118.26
L206,Premier League,Spain,Basketball,6953340000,3880000,Manchester City,24,1988,337.08
L207,La Liga,USA,Football,7585880000,14460000,Atletico Madrid,19,2006,34.51
L208,Bundesliga,USA,Basketball,5831260000,7030000,Bayern Munich,18,1937,171.4
L209,NFL,England,American Football,635100000,7290000,Green Bay Packers,29,1965,135.1
L210,Premier League,India,American Football,1996770000,8010000,Manchester United,26,1998,69.22
L211,IPL,India,Cricket,6301690000,4340000,Mumbai Indians,27,1984,445.27
L212,NFL,Germany,Cricket,2088510000,7450000,Green Bay Packers,32,1921,343.48
L213,IPL,USA,American Football,4542710000,12230000,Chennai Super Kings,29,1989,242.57
L214,Serie A,Germany,Basketball,5125240000,2360000,AC Milan,32,1962,453.17
L215,Ligue 1,England,Basketball,4955840000,7780000,Lyon,16,1918,320.81
L216,Bundesliga,Italy,Cricket,5950880000,6460000,Bayern Munich,29,2011,386.36
L217,Bundesliga,India,Cricket,932290000,12920000,Borussia Dortmund,31,1881,242.56
L218,La Liga,Germany,American Football,6449970000,2230000,Real Madrid,19,1904,18.65
L219,NBA,Germany,Basketball,714640000,13790000,Los Angeles Lakers,11,1927,485.63
L220,Premier League,France,American Football,2456930000,8330000,Manchester City,32,1957,266.42
L221,La Liga,France,Cricket,4986530000,13720000,Atletico Madrid,29,1987,338.78
L222,NBA,France,American Football,2991500000,8320000,Miami Heat,28,2000,74.75
L223,Serie A,USA,Football,3455950000,2910000,Inter Milan,12,1893,19.79
L224,La Liga,USA,Football,7913880000,2260000,Barcelona,29,1896,311.92
L225,Serie A,Germany,American Football,2600680000,4370000,Inter Milan,26,1952,376.94
L226,Premier League,England,Basketball,2424480000,13930000,Manchester United,20,1920,368.21
L227,Serie A,France,Football,3716750000,10260000,AC Milan,10,1913,466.31
L228,Serie A,Spain,Basketball,5266070000,14510000,Inter Milan,32,1961,443.42
L229,Bundesliga,India,Basketball,6388100000,12850000,Bayern Munich,28,1936,217.57
L230,Premier League,England,American Football,3324490000,4820000,Manchester United,30,1923,447.45
L231,NFL,Germany,Cricket,4537990000,2340000,Dallas Cowboys,31,1901,9.39
