League ID,League Name,Country,Sport,Revenue (USD),Average Player Salary (USD),Top Team,Total Teams,Founded Year,Viewership
L466,NFL,India,Basketball,4563860000,14760000,New England Patriots,12,2012,412.78
L467,Serie A,Germany,American Football,5668400000,3390000,Juventus,27,1990,247.36
L468,NBA,Italy,Cricket,7652580000,1840000,Golden State Warriors,19,1885,397.57
L469,NFL,India,Football,3800410000,8930000,Dallas Cowboys,30,1994,471.56
L470,La Liga,USA,Cricket,7315240000,3730000,Barcelona,32,1925,259.15
L471,Bundesliga,India,American Football,3730730000,9320000,RB Leipzig,29,1904,87.71
L472,La Liga,USA,Cricket,6108100000,1470000,Real Madrid,30,1984,337.02
L473,La Liga,India,Cricket,4630870000,9690000,Real Madrid,31,1971,49.94
L474,Serie A,Spain,Football,6177190000,4620000,Inter Milan,13,1965,222.54
L475,La Liga,England,Basketball,6801600000,1130000,Atletico Madrid,21,1950,94.07
L476,Serie A,India,Football,2924800000,12470000,Inter Milan,27,2021,378.76
L477,NFL,India,Football,3044910000,13200000,New England Patriots,27,2007,383.99
L478,NBA,France,Basketball,1331760000,6780000,Golden State Warriors,17,1954,346.8
L479,Ligue 1,India,Football,4782610000,2870000,Paris Saint-Germain,31,1923,220.7
L480,Serie A,Spain,Basketball,4546480000,5420000,Juventus,21,1905,112.61
L481,Bundesliga,England,Basketball,7787090000,3880000,Borussia Dortmund,31,1943,269.75
L482,NBA,Spain,American Football,6071400000,5770000,Los Angeles Lakers,15,1886,237.97
L483,IPL,USA,Basketball,3290880000,10810000,Chennai Super Kings,12,1887,78.97
L484,Ligue 1,India,Football,4799270000,5480000,Lyon,11,1907,388.48
L485,Bundesliga,USA,American Football,2577010000,6020000,Borussia Dortmund,31,1921,7.89
L486,NBA,England,Football,3655820000,3770000,Los Angeles Lakers,15,1945,61.86
L487,La Liga,USA,Cricket,6981130000,9450000,Real Madrid,23,1958,472.95
L488,Premier League,USA,Football,6129790000,1420000,Manchester United,27,1882,119.67
L489,Premier League,Germany,Cricket,632230000,10790000,Manchester United,22,1925,147.19
L490,Ligue 1,England,American Football,5924110000,9590000,Olympique Marseille,27,1880,61.26
L491,IPL,USA,American Football,7192660000,11930000,Kolkata Knight Riders,22,1897,326.85
L492,La Liga,Italy,Football,2201210000,13300000,Barcelona,17,1994,79.54
L493,Premier League,France,Football,5821370000,10320000,Manchester City,16,1901,86.67
L494,NFL,USA,Football,1026880000,14170000,Green Bay Packers,20,1916,439.1
L495,Ligue 1,Spain,American Football,2708670000,4770000,Lyon,22,2002,168.69
L496,Ligue 1,Germany,Football,4558170000,6390000,Olympique Marseille,15,2018,126.32
L497,Serie A,France,Football,2359340000,8510000,Juventus,31,1885,478.1
L498,NBA,Germany,Basketball,1302850000,1780000,Miami Heat,14,1889,242.21
L499,La Liga,England,Football,6814530000,9280000,Real Madrid,22,1977,471.47
L500,IPL,Spain,Basketball,3453350000,11170000,Mumbai Indians,15,1990,90.3
L501,La Liga,Italy,American Football,929800000,5410000,Barcelona,20,2008,386
L502,IPL,Germany,Basketball,2758670000,7860000,Chennai Super Kings,26,1964,482.67
L503,Premier League,USA,Basketball,1245520000,7520000,Manchester City,21,1901,157.97
L504,IPL,Spain,Football,6274910000,4740000,Kolkata Knight Riders,10,1943,380.05
L505,IPL,Italy,Cricket,6185130000,12440000,Chennai Super Kings,14,1958,250.34
L506,NBA,Spain,Cricket,1566030000,3580000,Los Angeles Lakers,23,1977,177.42
L507,Premier League,USA,Football,1452210000,2830000,Manchester United,23,2019,407.13
L508,Serie A,India,Football,7871720000,14010000,Juventus,26,1958,334.59
L509,NFL,Germany,Basketball,5214190000,7770000,Green Bay Packers,22,1923,474.74
L510,Serie A,Spain,Basketball,6206600000,6490000,Inter Milan,28,1996,36.39
L511,Serie A,USA,Football,2523180000,13740000,AC Milan,21,2000,295.22
L512,NFL,England,Cricket,1508420000,7940000,Dallas Cowboys,32,1959,494.75
L513,Bundesliga,Spain,American Football,6967820000,1370000,Bayern Munich,22,1960,486.17
L514,NFL,Spain,Cricket,5374410000,2710000,New England Patriots,27,1916,442.42
L515,IPL,France,Cricket,1413570000,14530000,Chennai Super Kings,30,1995,100.24
L516,Ligue 1,England,American Football,3732880000,1720000,Lyon,14,1992,216.45
L517,Serie A,Germany,Cricket,5653340000,6900000,Juventus,28,1885,182.97
L518,NBA,Italy,Basketball,4777890000,8750000,Los Angeles Lakers,25,1915,176.69
L519,La Liga,Germany,Basketball,538990000,6460000,Real Madrid,31,1996,167.02
L520,NFL,Italy,Football,3730430000,14130000,Green Bay Packers,26,2018,268.42
L521,Serie A,Italy,Basketball,524260000,2480000,AC Milan,26,1880,211.06
L522,IPL,USA,Basketball,4162020000,3290000,Chennai Super Kings,13,1943,337.41
L523,Bundesliga,Italy,Basketball,3381970000,1390000,RB Leipzig,19,1961,198.78
L524,Premier League,Spain,American Football,4040580000,1770000,Manchester City,32,1988,488.33
L525,Premier League,England,Cricket,7137810000,6320000,Manchester United,26,2001,123.62
L526,NFL,Italy,American Football,5136800000,5530000,Green Bay Packers,26,1885,313.12
L527,NFL,Spain,Football,3580750000,5080000,Green Bay Packers,15,1950,221.47
L528,NBA,USA,American Football,2207690000,8740000,Golden State Warriors,10,1949,187.69
L529,NBA,India,Cricket,1193540000,5770000,Los Angeles Lakers,21,1993,234.57
L530,Premier League,England,American Football,1639630000,2370000,Liverpool,21,1984,185.8
L531,Ligue 1,Italy,American Football,7099030000,11430000,Paris Saint-Germain,22,2010,119.8
L532,NFL,France,Football,1752330000,14900000,Dallas Cowboys,19,1988,299.21
L533,NFL,France,Football,1288190000,6790000,New England Patriots,30,1927,305.22
L534,Ligue 1,France,American Football,7352270000,4180000,Paris Saint-Germain,11,2003,106.97
L535,Premier League,France,Football,2337220000,1360000,Manchester United,16,1955,434.96
L536,Bundesliga,France,Basketball,6745620000,11570000,RB Leipzig,18,1958,113.95
L537,Bundesliga,Germany,Cricket,7194070000,3720000,Bayern Munich,18,1975,13.44
L538,NBA,USA,Cricket,5721600000,13520000,Los Angeles Lakers,21,1974,323.7
L539,Serie A,France,Cricket,2913260000,5300000,Juventus,12,2013,251.38
L540,Premier League,USA,Basketball,2218880000,6670000,Manchester City,11,1915,198.37
L541,Bundesliga,France,Football,3114470000,11090000,Borussia Dortmund,17,1984,207.48
L542,Bundesliga,England,Cricket,1448890000,7140000,Bayern Munich,10,1915,431.35
L543,Premier League,USA,Football,7344660000,13040000,Manchester United,19,1965,34.34
L544,Premier League,Italy,Football,7538160000,12750000,Manchester United,31,1911,422.98
L545,Bundesliga,India,Football,4474450000,5510000,Bayern Munich,31,1904,20.3
L546,NFL,Spain,American Football,1772190000,10770000,Dallas Cowboys,22,1948,170.07
L547,La Liga,India,American Football,2034540000,2090000,Atletico Madrid,31,1947,482.68
L548,Premier League,India,Basketball,2011800000,2020000,Manchester City,29,2019,285.1
L549,Premier League,Italy,American Football,7865030000,5930000,Manchester City,15,1937,243.43
L550,Ligue 1,Germany,Basketball,7685760000,11500000,Paris Saint-Germain,28,1975,92.95
L551,NBA,England,American Football,6809130000,3270000,Los Angeles Lakers,12,1992,121.18
L552,Premier League,USA,American Football,6781950000,9100000,Manchester City,28,1983,238.99
L553,Serie A,Spain,American Football,4564900000,9570000,Inter Milan,17,1903,28.71
L554,NFL,India,Basketball,2684150000,7470000,Green Bay Packers,26,1986,192.64
L555,Premier League,India,Cricket,7382740000,11820000,Manchester United,24,1974,345.74
L556,Premier League,India,American Football,2521560000,7810000,Liverpool,15,1966,492.27
L557,La Liga,England,Football,3065000000,13280000,Barcelona,30,2003,370.67
L558,Bundesliga,India,American Football,4415720000,4180000,RB Leipzig,20,2013,386.36
L559,La Liga,England,Football,5782380000,4850000,Barcelona,22,2012,293.69
L560,Serie A,Italy,Basketball,2157700000,12780000,Inter Milan,17,1964,224.84
L561,Premier League,France,Football,7051610000,13010000,Manchester United,21,1960,409.19
L562,Bundesliga,Italy,Cricket,4255720000,14560000,Borussia Dortmund,25,2006,44.42
L563,Premier League,Germany,Cricket,2602170000,12080000,Liverpool,14,1952,446.19
L564,Serie A,Spain,Cricket,5430710000,6670000,Inter Milan,30,1946,474.85
L565,NFL,USA,Football,4317200000,14020000,New England Patriots,19,1927,456.06
L566,Premier League,France,Basketball,4678840000,7280000,Liverpool,22,1958,159.29
L567,Premier League,Germany,Football,7399500000,12330000,Liverpool,31,1929,329.06
L568,Serie A,England,Cricket,4796460000,14090000,AC Milan,29,2006,47.52
L569,IPL,Spain,Basketball,5720260000,9200000,Mumbai Indians,31,2009,73.09
L570,NFL,France,Basketball,2662390000,10580000,Dallas Cowboys,25,1940,254.81
L571,Premier League,England,Cricket,7603730000,2020000,Manchester United,21,1989,215.85
L572,Premier League,USA,Cricket,2776070000,13210000,Liverpool,11,1971,272.66
L573,La Liga,Germany,Cricket,5355110000,5050000,Barcelona,18,2014,356.38
L574,Bundesliga,USA,Basketball,3624100000,2470000,Bayern Munich,23,1981,122.73
L575,Ligue 1,England,American Football,3395320000,10330000,Paris Saint-Germain,15,1915,49.22
L576,La Liga,Spain,Football,1267200000,6410000,Barcelona,22,1936,449.04
L577,Ligue 1,Spain,Cricket,804970000,9250000,Olympique Marseille,26,1991,136.35
L578,Ligue 1,India,Football,3029820000,10960000,Lyon,20,1896,453.41
L579,Serie A,India,American Football,3564490000,2430000,Inter Milan,26,1988,465.57
L580,NFL,England,American Football,1905300000,3540000,Dallas Cowboys,30,1904,315.85
L581,Bundesliga,Germany,Football,1253120000,11930000,Borussia Dortmund,18,1937,458.46
L582,NBA,Italy,Basketball,5735910000,7900000,Los Angeles Lakers,21,1904,432.9
L583,NFL,Germany,American Football,2760090000,6540000,Green Bay Packers,22,1994,272.46
L584,Ligue 1,Germany,Cricket,3187790000,2380000,Olympique Marseille,13,2023,361.44
L585,NBA,Spain,Football,2171470000,2860000,Los Angeles Lakers,28,1970,133.86
L586,NFL,Spain,Football,7745310000,2590000,New England Patriots,30,1885,84.31
L587,Bundesliga,India,Football,2931260000,10290000,RB Leipzig,26,1934,171.65
L588,Ligue 1,France,Football,5796700000,4990000,Lyon,19,1882,464.82
L589,Ligue 1,France,Football,1733030000,11160000,Lyon,13,1935,162.16
L590,IPL,Spain,Basketball,2622490000,8490000,Chennai Super Kings,16,1981,214.78
L591,NBA,India,Cricket,5662360000,14670000,Los Angeles Lakers,19,1889,232.65
L592,Premier League,Italy,Football,7415980000,13020000,Manchester United,29,1980,287.19
L593,IPL,England,Basketball,1634720000,13990000,Mumbai Indians,16,1884,407.05
L594,La Liga,England,American Football,2644380000,8970000,Atletico Madrid,13,1906,235.39
L595,NBA,USA,Football,6882770000,2800000,Los Angeles Lakers,18,1936,228.82
L596,IPL,India,Basketball,1566280000,9060000,Chennai Super Kings,22,1995,129.26
L597,Serie A,France,Basketball,5134630000,2260000,Inter Milan,13,1888,186.98
L598,Serie A,Germany,Football,6908520000,8450000,Inter Milan,27,1963,240.99
L599,Bundesliga,Italy,American Football,7149190000,9610000,Bayern Munich,18,1992,492.23
L600,NFL,England,American Football,2250400000,9170000,New England Patriots,32,1999,426.89
L601,Ligue 1,Spain,Cricket,6135580000,5590000,Paris Saint-Germain,10,2013,134.6
L602,NFL,Italy,Football,3417780000,1370000,Dallas Cowboys,21,1935,460.14
L603,Serie A,France,Football,6062860000,10720000,Inter Milan,15,1911,123.73
L604,Ligue 1,Spain,Cricket,3778470000,4550000,Lyon,32,1917,123.02
L605,La Liga,India,Cricket,6504140000,3440000,Barcelona,16,1984,429.96
L606,Premier League,France,American Football,2524650000,11900000,Manchester City,29,2012,143.09
L607,La Liga,Germany,American Football,1525340000,10140000,Barcelona,28,1945,100.46
L608,Ligue 1,Italy,Basketball,2155610000,14490000,Paris Saint-Germain,25,1967,78.1
L609,Ligue 1,USA,Cricket,4814670000,3120000,Lyon,24,1917,153.22
L610,La Liga,Italy,Football,5428160000,3150000,Atletico Madrid,29,1988,126.27
L611,IPL,USA,American Football,6013570000,5280000,Mumbai Indians,26,2001,364.06
L612,Serie A,Italy,Football,2646010000,2020000,Juventus,32,1881,320.53
L613,NFL,Germany,American Football,1833220000,3150000,Green Bay Packers,15,2005,33.05
L614,NFL,England,American Football,5358850000,8530000,Dallas Cowboys,26,1919,57.83
L615,La Liga,Germany,Basketball,2948280000,4730000,Real Madrid,27,1935,495.23
L616,Ligue 1,France,Basketball,7910010000,8230000,Paris Saint-Germain,31,1964,393.13
L617,Premier League,Spain,Basketball,3049050000,6950000,Manchester United,25,1898,397.6
L618,Serie A,Italy,Basketball,1902480000,10680000,Juventus,11,1893,179.92
L619,La Liga,India,Basketball,3519730000,9570000,Real Madrid,20,1954,66.7
L620,IPL,Germany,American Football,505400000,14580000,Mumbai Indians,26,1940,173.47
L621,Serie A,India,Basketball,2604990000,3820000,AC Milan,11,2007,247.22
L622,Bundesliga,USA,American Football,2129560000,11300000,Bayern Munich,26,2003,308.37
L623,IPL,Germany,American Football,4409990000,13130000,Mumbai Indians,27,1959,181.48
L624,NFL,India,American Football,5738710000,1790000,Dallas Cowboys,24,2004,211.21
L625,Serie A,Italy,Football,4876540000,7430000,AC Milan,32,1946,144.98
L626,La Liga,Spain,Cricket,3012050000,12610000,Barcelona,11,1913,195.02
L627,La Liga,France,Cricket,3431130000,12200000,Real Madrid,30,1888,409.88
L628,Ligue 1,India,Cricket,6482710000,6090000,Olympique Marseille,24,2008,362.84
L629,NBA,Spain,Football,7606620000,3620000,Los Angeles Lakers,27,1947,151.18
L630,NBA,Spain,American Football,6604560000,8250000,Miami Heat,19,1907,165.75
L631,NBA,USA,American Football,1498550000,1860000,Golden State Warriors,13,1889,499.95
L632,Premier League,England,Cricket,3780340000,8010000,Liverpool,25,1992,390.81
L633,NFL,USA,Cricket,1265530000,3720000,Dallas Cowboys,19,1953,155.87
L634,NFL,Italy,Basketball,5939420000,5470000,Green Bay Packers,18,1998,228
L635,Bundesliga,USA,Basketball,5149870000,9950000,Borussia Dortmund,31,1994,34.87
L636,Premier League,Spain,Football,5149720000,2240000,Manchester City,26,1916,370.38
L637,NBA,India,Football,4674480000,13480000,Miami Heat,26,1901,231.27
L638,Ligue 1,India,Cricket,5504410000,4300000,Lyon,21,1972,86.96
L639,Serie A,Germany,Basketball,5576610000,10340000,Juventus,29,1992,312.27
L640,Ligue 1,England,American Football,4932940000,10730000,Lyon,28,2020,381.02
L641,La Liga,India,Cricket,4137390000,4010000,Barcelona,10,1900,115.49
L642,NFL,Germany,American Football,4883320000,12670000,New England Patriots,22,1954,120.58
L643,La Liga,Germany,Cricket,3374010000,11620000,Real Madrid,15,1929,23.46
L644,Ligue 1,USA,American Football,6063570000,12120000,Paris Saint-Germain,24,1938,385.64
L645,La Liga,France,American Football,1809800000,2490000,Barcelona,15,1995,410.96
L646,Serie A,Italy,American Football,2713450000,9500000,Inter Milan,22,1947,303.94
L647,NBA,France,Cricket,3781390000,13520000,Los Angeles Lakers,31,1932,171.59
L648,Ligue 1,Spain,American Football,3432920000,9450000,Lyon,31,1960,161.35
L649,Serie A,England,Basketball,7403480000,14590000,Inter Milan,16,2012,295.45
L650,Ligue 1,France,Basketball,6126410000,4750000,Lyon,26,1994,272.98
L651,Premier League,England,Basketball,2681740000,2360000,Liverpool,11,1880,461.36
L652,Premier League,Italy,Cricket,4756480000,5710000,Manchester United,20,1983,214.5
L653,NBA,England,American Football,4401970000,1690000,Miami Heat,18,1930,377.04
L654,Bundesliga,India,Cricket,7815550000,14900000,Bayern Munich,19,2021,497.33
L655,NFL,Germany,Football,5004560000,4880000,New England Patriots,31,1957,131.58
L656,NFL,Germany,Cricket,1335640000,12440000,Green Bay Packers,29,1978,75.45
L657,IPL,USA,Basketball,7608070000,14520000,Chennai Super Kings,27,1993,451.81
L658,Serie A,France,American Football,1665500000,8120000,Juventus,28,2014,395.48
L659,Serie A,USA,American Football,2765350000,4660000,Inter Milan,27,1914,103.24
L660,IPL,England,Basketball,4693620000,12750000,Kolkata Knight Riders,27,1998,18.74
L661,Bundesliga,USA,Cricket,5858060000,1340000,RB Leipzig,19,1911,456.32
L662,La Liga,Spain,Cricket,1776060000,8660000,Atletico Madrid,21,1887,69.92
L663,NBA,England,Cricket,2003890000,6690000,Miami Heat,23,1974,454.04
L664,La Liga,England,Basketball,4747960000,3200000,Atletico Madrid,17,2016,279.67
L665,Bundesliga,France,Football,7821150000,8920000,RB Leipzig,13,1985,219.57
L666,Bundesliga,India,Basketball,1699750000,12800000,RB Leipzig,11,1930,229.58
L667,NFL,Germany,Football,7667550000,7940000,New England Patriots,25,1970,363.8
L668,Serie A,Spain,Basketball,5568290000,8040000,Juventus,21,2002,316.42
L669,La Liga,USA,American Football,3557690000,1460000,Atletico Madrid,15,1996,220.94
L670,IPL,USA,Cricket,2528680000,1400000,Kolkata Knight Riders,12,1912,202.51
L671,Bundesliga,Spain,Cricket,3281440000,2670000,RB Leipzig,25,2009,302.34
L672,NFL,India,Football,2868260000,8960000,Green Bay Packers,10,1935,164.96
L673,IPL,France,Basketball,4253340000,7460000,Mumbai Indians,10,2003,163.86
L674,NFL,Italy,Basketball,733500000,7490000,Green Bay Packers,24,1980,435.4
L675,Premier League,Germany,American Football,4858110000,13840000,Manchester United,11,2018,119.96
L676,Premier League,Italy,American Football,7623720000,13950000,Manchester City,29,1916,189.17
L677,Premier League,India,Football,4495430000,10720000,Liverpool,28,1913,224.3
L678,Bundesliga,Italy,Basketball,2770260000,13490000,RB Leipzig,14,1991,201.49
L679,Premier League,Germany,Basketball,7374590000,1280000,Liverpool,21,1935,193.18
L680,Premier League,Germany,Cricket,1535430000,9030000,Manchester United,29,1880,32.94
L681,Serie A,England,Football,5159860000,10080000,Inter Milan,18,1960,479.42
L682,NBA,USA,Football,3079580000,13520000,Los Angeles Lakers,19,1990,428.36
L683,Bundesliga,England,Football,5457390000,1810000,Bayern Munich,17,1964,467.95
L684,Ligue 1,Spain,Cricket,3501420000,7350000,Paris Saint-Germain,29,1939,300.58
L685,Ligue 1,India,Cricket,3794670000,5330000,Olympique Marseille,22,2023,99.26
L686,IPL,USA,Football,6989200000,4020000,Mumbai Indians,13,1913,370.44
L687,Bundesliga,France,Basketball,4516380000,2460000,Bayern Munich,10,2021,477.95
L688,Bundesliga,Italy,Basketball,5568830000,3290000,Bayern Munich,31,1962,299.79
L689,Premier League,Germany,American Football,1812050000,14170000,Manchester United,26,1902,153.31
L690,NFL,USA,Football,2389400000,2890000,Dallas Cowboys,22,2021,409.7
L691,Bundesliga,India,American Football,2793070000,13700000,Bayern Munich,15,1920,286.56
L692,Premier League,USA,Basketball,6557340000,1960000,Manchester United,16,1945,18.36
L693,Ligue 1,India,Football,4627240000,8390000,Paris Saint-Germain,16,1966,386.27
L694,Premier League,France,Football,4324090000,11320000,Liverpool,19,2010,44.16
L695,La Liga,Spain,Cricket,6635030000,9240000,Real Madrid,32,1894,375.55
L696,Bundesliga,France,Football,2280400000,2970000,RB Leipzig,25,1914,159.88
L697,Ligue 1,USA,Cricket,694520000,12130000,Lyon,20,2009,194.31
L698,Premier League,USA,Football,5251210000,4780000,Manchester United,29,2004,79.36
L699,NBA,Germany,American Football,5898850000,11020000,Miami Heat,22,1897,238.5
L700,La Liga,India,Football,2865280000,2110000,Barcelona,17,1920,322.22
